function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f1,newton,none,7,7,14,0,0,0
f1,newton,backtracking_armijo,29,76,86,0,0,0
f1,newton,wolfe_strong,5000,59201,19678,5.55111512312578e-16,1.11022302462516e-15,3.08148791101958e-31
f1,newton,bisection_wolfe_weak,29,93,122,0,0,0
f1,newton,bisection_goldstein,28,127,83,0,0,0
f1,newton,hanger_zhang_backtracking_armijo,10,20,29,0,0,0
f1,newton,hanger_zhang_bisection_wolfe_weak,10,29,39,0,0,0
f1,newton,hanger_zhang_wolfe_strong,85,180,3,0,0,0
f1,newton,hanger_zhang_bisection_goldstein,10,39,29,0,0,0
f1,newton,grippo_backtracking_armijo,10,20,29,0,0,0
f1,newton,grippo_bisection_wolfe_weak,10,29,39,0,0,0
f1,newton,grippo_wolfe_strong,85,180,3,0,0,0
f1,newton,grippo_bisection_goldstein,10,39,29,0,0,0
f1,steepest,none,10,39,29,inf,inf,inf
f1,steepest,backtracking_armijo,5000,69953,10000,0.000231853657516545,0.000465659507062566,5.41585013010586e-08
f1,steepest,wolfe_strong,5000,53706,20000,0.00182500974970823,0.00681981112059682,0.0010102011620911
f1,steepest,bisection_wolfe_weak,5000,59076,59075,0.00217214517391573,0.00435307813413655,4.73645586276291e-06
f1,steepest,bisection_goldstein,5000,108535,10000,0.00147851091350937,0.00296432049244699,2.19499039880236e-06
f1,steepest,hanger_zhang_backtracking_armijo,5000,59124,10000,0.978417699202881,0.717767377990892,8.89655563451037
f1,steepest,hanger_zhang_bisection_wolfe_weak,5000,77671,77670,3.12346213405168,15.8923036966325,10.9800542225191
f1,steepest,hanger_zhang_wolfe_strong,5000,77671,77670,inf,inf,inf
f1,steepest,hanger_zhang_bisection_goldstein,5000,115761,10000,0.916843811761581,0.790158011592207,4.95854080020614
f1,steepest,grippo_backtracking_armijo,5000,77754,10000,0.292024103878915,0.666216248943581,0.0862453096760649
f1,steepest,grippo_bisection_wolfe_weak,5000,75152,75151,2.46702946497995,11.0251371515968,6.08858066021404
f1,steepest,grippo_wolfe_strong,5000,75152,75151,inf,inf,inf
f1,steepest,grippo_bisection_goldstein,5000,127895,10000,1.01566086461543,3.06146355134602,1.03177010280615
f2,newton,none,3,3,3,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,backtracking_armijo,3,5,5,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,wolfe_strong,60,119,2,5.20417042793058e-18,5.2041704279303e-18,1.89583728900615e-34
f2,newton,bisection_wolfe_weak,3,7,7,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,bisection_goldstein,3,9,5,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,hanger_zhang_backtracking_armijo,3,5,5,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,hanger_zhang_bisection_wolfe_weak,3,7,7,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,hanger_zhang_wolfe_strong,60,119,2,5.20417042793058e-18,5.2041704279303e-18,1.89583728900615e-34
f2,newton,hanger_zhang_bisection_goldstein,3,9,5,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,grippo_backtracking_armijo,3,5,5,0,1.97215226305253e-31,1.55575381946529e-61
f2,newton,grippo_bisection_wolfe_weak,3,7,7,0,1.97215226305253e-31,1.55575381946529e-61
