ans = dataframe with 18 rows and 7 columns                                                                                                                         
_1             xFunction           method                         step_size            iterations              error_x1              error_x2          error_fvalue
Nr                double             char                              char                double                double                double                double
 1 1.000000000000000e+00           newton               backtracking_armijo 1.000000000000000e+02 4.629967447469610e-03 1.016509269602367e-03 7.079493693664599e+03
 2 1.000000000000000e+00           newton              bisection_wolfe_weak 1.000000000000000e+02 3.436583059414976e-03 3.148843604359787e-03 7.079120320193766e+03
 3 1.000000000000000e+00           newton               bisection_goldstein 1.000000000000000e+02 3.462087258984003e-03 3.103271930270459e-03 7.079636170445581e+03
 4 1.000000000000000e+00           newton  hanger_zhang_backtracking_armijo 1.000000000000000e+02 5.462025631310653e-03 4.701842579160260e-04 7.079731570309516e+03
 5 1.000000000000000e+00           newton hanger_zhang_bisection_wolfe_weak 1.000000000000000e+02 4.394490076447284e-03 1.437237764984958e-03 7.079423996635445e+03
 6 1.000000000000000e+00           newton  hanger_zhang_bisection_goldstein 1.000000000000000e+02 5.100575572683732e-03 1.755840301470905e-04 7.079710799529855e+03
 7 1.000000000000000e+00           newton        grippo_backtracking_armijo 1.000000000000000e+02 6.616247412857921e-03 2.532482871375624e-03 7.080031618493509e+03
 8 1.000000000000000e+00           newton       grippo_bisection_wolfe_weak 1.000000000000000e+02 5.664875646201445e-03 8.327252808923602e-04 7.079791175992576e+03
 9 1.000000000000000e+00           newton        grippo_bisection_goldstein 1.000000000000000e+02 5.408711719761572e-03 3.749740513928170e-04 7.079791072076281e+03
10 1.000000000000000e+00 steepest descent               backtracking_armijo 1.000000000000000e+02 1.709681054520610e-02 3.121595319616643e+00 3.654778069539847e+03
11 1.000000000000000e+00 steepest descent              bisection_wolfe_weak 1.000000000000000e+02 6.290010288663852e+00 3.121595319616643e+00 3.654799090513825e+03
12 1.000000000000000e+00 steepest descent               bisection_goldstein 1.000000000000000e+02 2.205896669738130e+02 2.858715828672823e+02 3.685184201742182e+03
13 1.000000000000000e+00 steepest descent  hanger_zhang_backtracking_armijo 1.000000000000000e+02 2.984635186136260e+01 1.625864192179623e+01 3.927103249455955e+03
14 1.000000000000000e+00 steepest descent hanger_zhang_bisection_wolfe_weak 1.000000000000000e+02 1.133747165408327e+02 2.615278157293770e+02 4.521653409976871e+03
15 1.000000000000000e+00 steepest descent  hanger_zhang_bisection_goldstein 1.000000000000000e+02 4.355366203330951e+02 5.724801138566558e+01 5.151120503790380e+03
16 1.000000000000000e+00 steepest descent        grippo_backtracking_armijo 1.000000000000000e+02 8.034324341687125e+01 2.230718972265911e+01 5.331819388538140e+03
17 1.000000000000000e+00 steepest descent       grippo_bisection_wolfe_weak 1.000000000000000e+02 5.243836893272363e+02 1.987543536803071e+02 5.529297509651316e+03
18 1.000000000000000e+00 steepest descent        grippo_bisection_goldstein 1.000000000000000e+02 3.388748877320064e+02 8.855654791192444e+01 5.502131279090378e+03
