function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f1,newton,backtracking_armijo,25,58,74,0,0,0
f1,newton,wolfe_strong,10000,119271,39697,2.44249065417534e-15,4.88498130835069e-15,5.9657605957339e-30
f1,newton,bisection_wolfe_weak,26,83,109,0,0,0
f1,newton,bisection_goldstein,27,213,80,0,0,0
f1,newton,hanger_zhang_backtracking_armijo,18,43,53,0,0,0
f1,newton,hanger_zhang_bisection_wolfe_weak,17,55,72,0,0,0
f1,newton,hanger_zhang_wolfe_strong,77,164,3,0,0,0
f1,newton,hanger_zhang_bisection_goldstein,17,77,50,0,0,0
f1,newton,grippo_backtracking_armijo,14,33,41,0,0,0
f1,newton,grippo_bisection_wolfe_weak,15,47,62,0,0,0
f1,newton,grippo_wolfe_strong,77,164,3,0,0,0
f1,newton,grippo_bisection_goldstein,15,65,44,0,0,0
f1,steepest,backtracking_armijo,10000,139618,20000,1.21271044436488e-05,2.42854008702942e-05,1.47164875790706e-10
f1,steepest,wolfe_strong,10000,103021,39879,0.0016505817297614,0.000778555659988189,0.000637705644668579
f1,steepest,bisection_wolfe_weak,10000,119465,119464,1.14690887738078e-05,2.29527032906685e-05,1.31561480896137e-10
f1,steepest,bisection_goldstein,10000,219203,20000,1.85899093141373e-06,3.73001862996603e-06,3.47032734100954e-12
f1,steepest,hanger_zhang_backtracking_armijo,10000,136174,20000,0.103427132631252,0.218844678551188,0.062169823318062
f1,steepest,hanger_zhang_bisection_wolfe_weak,10000,118650,118649,0.0492839366978683,0.117926386891844,0.0498980730610014
f1,steepest,hanger_zhang_wolfe_strong,10000,98909,32383,0.0609683689768576,0.103961926155575,0.0240452567782146
f1,steepest,hanger_zhang_bisection_goldstein,10000,216433,20000,0.0357120798002738,0.0932284149881384,0.0545421833312837
f1,steepest,grippo_backtracking_armijo,10000,138089,20000,3.85428268649957e-05,7.92724062301797e-05,1.96438807893847e-09
f1,steepest,grippo_bisection_wolfe_weak,10000,148015,148014,1.83786273439942,7.07328174239361,3.41701015754175
f1,steepest,grippo_wolfe_strong,10000,148015,148014,inf,inf,inf
f1,steepest,grippo_bisection_goldstein,10000,214205,20000,1.12662787654649e-06,2.1544115881289e-06,2.24628217418226e-12
f2,newton,backtracking_armijo,10000,508390,30000,0,4.44089209850063e-16,1.29422492262822e-30
f2,newton,wolfe_strong,10000,119271,35410,1.99326337285637,0.0116073698712496,3.98657911234714
f2,newton,bisection_wolfe_weak,10000,518292,528291,0,7.99360577730113e-15,2.36904790599185e-29
f2,newton,bisection_goldstein,10000,1016583,30000,0,7.99360577730113e-15,2.36904790599185e-29
f2,newton,hanger_zhang_backtracking_armijo,10000,20001,30000,0,8.88178419700125e-16,2.73636126498538e-30
f2,newton,hanger_zhang_bisection_wolfe_weak,10000,30001,40000,0,8.88178419700125e-16,2.73636126498538e-30
f2,newton,hanger_zhang_wolfe_strong,10000,68463,1,1.99326337285637,0.0116073698711249,3.98657911234714
f2,newton,hanger_zhang_bisection_goldstein,10000,40001,30000,0,8.88178419700125e-16,2.73636126498538e-30
f2,newton,grippo_backtracking_armijo,10000,503730,30000,0,8.88178419700125e-16,1.49144014893348e-30
f2,newton,grippo_bisection_wolfe_weak,10000,516130,526129,0,8.88178419700125e-16,1.49144014893348e-30
f2,newton,grippo_wolfe_strong,10000,118962,2,1.99326337285637,0.0116073698711325,3.98657911234714
f2,newton,grippo_bisection_goldstein,10000,1007459,30000,0,8.88178419700125e-16,1.49144014893348e-30
f2,steepest,backtracking_armijo,10000,150346,20000,1.86569119098312e-06,0.00100201099098995,3.33715698396326e-07
f2,steepest,wolfe_strong,10000,113360,40000,4.81705183135173e-05,0.00222817536747211,0.000278244897405348
f2,steepest,bisection_wolfe_weak,10000,126743,126742,3.12016894543632e-06,0.00169176327244447,9.52264541075373e-07
f2,steepest,bisection_goldstein,10000,233655,20000,3.0232982008993e-06,0.00163887303745303,8.93610020446094e-07
f2,steepest,hanger_zhang_backtracking_armijo,10000,111007,20000,0.85503845346692,0.999900365276836,11.8623072078704
f2,steepest,hanger_zhang_bisection_wolfe_weak,10000,96549,96548,0.910449716924838,0.999707026890218,13.1967788803646
f2,steepest,hanger_zhang_wolfe_strong,10000,76549,40000,0.910449716924838,0.999707026890218,13.1967788803646
f2,steepest,hanger_zhang_bisection_goldstein,10000,179665,20000,0.484820981722257,0.999899918281513,8.74767452706691
f2,steepest,grippo_backtracking_armijo,10000,145978,20000,1.19489256766858e-06,0.00252161246591109,3.43196628533713e-06
f2,steepest,grippo_bisection_wolfe_weak,10000,114942,114941,2.16572125484316e-05,0.0297021343522983,0.000859953064058832
f2,steepest,grippo_wolfe_strong,10000,95948,40000,0.000252249251833314,0.0302172034831734,0.00904970156142141
